stcd,dpres,retiring,gopseat,age
101,34.9385,0,1,63
102,33.7079,0,1,42
103,33.0943,0,1,60
104,17.7914,0,1,53
105,32.6042,0,1,64
106,26.935,0,1,64
107,70.935,0,0,53
201,41.5929,0,1,85
301,49.4168,0,0,72
303,65.7534,0,0,70
304,28.8866,0,1,60
305,38.7885,0,1,60
306,44.7257,0,1,56
307,76.0593,0,0,39
308,38.9064,0,1,60
401,31.7227,0,1,52
402,44.3146,0,1,62
403,33.0087,0,1,61
404,32.7749,0,1,51
501,39.3743,0,1,58
502,74.7562,0,0,54
503,56.7452,0,0,73
504,42.1222,0,1,62
505,74.0107,0,0,67
506,73.9316,0,0,74
507,56.1159,0,0,53
508,41.9936,0,1,75
509,59.8309,0,0,67
510,51.5957,0,1,51
511,75.9023,0,0,66
512,90.8325,0,0,78
513,92.7813,0,0,72
514,80.8623,0,0,68
515,74.2827,0,0,38
516,61.4407,0,0,66
517,78.2839,0,0,42
518,78.4188,0,0,76
519,77.2246,0,0,71
520,75.2137,0,0,49
521,58.1665,0,1,41
522,44.9842,0,1,45
523,38.3227,0,1,53
524,60.8369,0,0,54
525,53.5676,0,1,52
526,61.6613,0,0,66
527,69.9153,0,0,65
528,76.3771,0,0,58
529,82.2222,0,0,55
530,72.8903,0,0,64
531,61.1877,0,0,39
532,70.6257,0,0,82
533,71.8982,0,0,49
534,88.6532,0,0,44
535,71.5645,0,0,53
536,54.6025,0,0,46
537,89.9265,0,0,65
538,70.9746,0,0,49
540,86.5263,0,0,77
541,64.8247,0,0,58
542,43.6709,0,1,65
543,82.4395,0,0,80
544,87.0934,0,0,42
545,52.8662,0,1,56
546,70.3822,0,0,60
547,66.8803,0,0,77
548,50.9033,0,1,71
550,42.0382,0,1,42
551,75.8985,0,0,57
552,62.0064,0,0,60
553,68.5441,0,0,74
601,74.8373,0,0,61
603,43.4783,0,1,62
604,37.4046,0,1,59
605,36.7257,0,1,64
606,54.8634,0,1,63
607,56.6079,0,0,65
701,62.069,0,0,70
702,51.5344,0,0,65
703,58.0478,0,0,75
704,61.9543,0,0,52
801,56.0336,0,0,56
901,29.4671,0,1,36
902,31.6116,0,1,65
903,41.7012,0,1,63
904,35.447,0,1,66
905,63.0658,0,0,70
907,53.822,0,0,40
908,39.23,0,1,71
909,56.6701,0,0,40
910,63.909,0,0,61
911,33.4019,0,1,69
912,40.3326,0,1,55
913,51.6667,0,0,62
914,59.4595,0,0,52
916,44.4674,0,1,67
918,45.2772,0,1,38
919,38.62,0,1,65
920,81.587,0,0,82
921,59.9795,0,0,70
922,58.0777,0,0,52
923,63.3572,0,0,52
924,84.3337,0,0,76
925,49.0779,0,1,57
926,58.3762,0,1,38
1001,42.0349,0,1,61
1002,55.9512,0,0,71
1003,33.7796,0,1,51
1004,77.2308,0,0,64
1005,87.7193,0,0,78
1006,49.2114,0,1,56
1007,46.7153,0,1,48
1008,35.2098,0,1,49
1009,19.8764,0,1,52
1010,36.8692,0,1,58
1011,36.9247,0,1,55
1012,41.7008,0,1,67
1013,72.7459,0,0,73
1014,22.76,0,1,48
1102,67.4725,0,0,37
1202,35.3499,0,1,68
1301,77.8926,0,0,72
1302,80.3296,0,0,62
1303,58.0442,0,0,52
1305,74.6822,0,0,60
1306,53.7473,0,1,57
1307,90.4762,0,0,77
1308,61.4815,0,0,45
1309,73.7895,0,0,74
1310,65.5391,0,0,57
1311,62.4602,0,0,63
1312,42.2269,0,1,58
1313,47.0714,0,1,48
1314,47.9144,0,1,52
1315,25.7353,0,1,60
1316,40.8316,0,1,40
1317,49.6281,0,0,57
1318,35.4633,0,1,50
1401,56.59,0,0,69
1402,37.8407,0,1,55
1403,31.6176,0,1,39
1405,43.75,0,1,58
1407,61.9748,0,0,44
1408,32.356,0,1,56
1409,35.8867,0,1,35
1501,48.1363,0,1,63
1502,47.8215,0,0,66
1503,48.1283,0,1,50
1504,35.4873,0,1,69
1601,25.9615,0,1,58
1603,50.6438,0,1,42
1604,35.4077,0,1,62
1701,24.8183,0,1,46
1702,29.0221,0,1,54
1703,57.9114,0,0,71
1704,31.0053,0,1,47
1705,18.0227,0,1,81
1706,41.8703,0,1,45
1801,27.9874,0,1,53
1802,77.0661,0,0,45
1803,30.2591,0,1,57
1804,37.6543,0,1,46
1805,34.9385,0,1,64
1806,32.3591,0,1,46
1901,57.9229,0,0,63
1902,44.4324,0,1,65
2001,35.0105,0,1,61
2002,62.7349,0,0,72
2003,66.0358,0,0,56
2004,79.6698,0,0,57
2005,66.632,0,0,79
2007,78.9583,0,0,67
2008,67.9916,0,0,56
2101,61.0459,0,0,69
2102,60.4301,0,0,59
2104,62.845,0,0,38
2105,72.9474,0,0,55
2106,59.491,0,0,40
2107,87.6042,0,0,66
2108,63.7131,0,0,63
2109,55.6734,0,0,66
2201,38.7302,0,1,71
2202,40.6383,0,1,49
2203,44.9893,0,1,38
2204,36.8365,0,1,57
2205,52.2059,0,0,60
2206,45.5414,0,1,65
2207,40.9958,0,1,67
2208,46.455,0,1,51
2210,33.1237,0,1,57
2212,63.7985,0,0,65
2213,81.3209,0,0,89
2214,81.2308,0,0,64
2302,49.3464,0,1,63
2303,55.0976,0,1,53
2304,66.7752,0,0,64
2306,36.0478,0,1,57
2307,33.4052,0,0,74
2401,33.1288,0,1,52
2402,64.4377,0,0,70
2404,28.8934,0,1,48
2501,80.3758,0,0,62
2502,44.5732,0,1,56
2503,29.5168,0,1,66
2504,30.9725,0,1,58
2505,57.1278,0,0,74
2506,33.4388,0,1,55
2507,25.9727,0,1,63
2508,21.7842,0,1,38
2601,38.8528,0,1,57
2701,38.6339,0,1,58
2702,48.8323,0,1,55
2703,21.0748,0,1,48
2801,65.3928,0,0,68
2802,43.2933,0,1,60
2902,51.2658,0,0,62
3001,62.668,0,0,60
3003,46.7909,0,1,58
3004,42.3554,0,1,65
3005,49.4301,0,0,43
3006,58.0578,0,0,67
3007,50.5723,0,1,66
